N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year
10318,HAV,Havasu lake Sample,,Havasu  ,2/5/2018,2/5/2018,,,4.844,,,,,,2018,,2016-20
10368,HAV,Havasu lake Sample,,Havasu  ,3/5/2018,3/5/2018,,,5.977,,,,,,2018,,2016-20
10418,HAV,Havasu lake Sample,,Havasu  ,4/2/2018,4/2/2018,,,0.559,,,,,,2018,,2016-20
10468,HAV,Havasu lake Sample,,Havasu  ,5/7/2018,5/7/2018,,,0.512,,,,,,2018,,2016-20
10518,HAV,Havasu lake Sample,,Havasu  ,6/4/2018,6/4/2018,,,0.453,,,,,,2018,,2016-20
10568,HAV,Havasu lake Sample,,Havasu  ,7/10/2018,7/10/2018,,,,,,,,,2018,,2016-20
10618,HAV,Havasu lake Sample,,Havasu  ,8/21/2018,8/21/2018,,,0.323,,,,,,2018,,2016-20
10668,HAV,Havasu lake Sample,,Havasu  ,9/25/2018,9/25/2018,,,0.413,,,,,,2018,,2016-20
10718,HAV,Havasu lake Sample,,Havasu  ,10/22/2018,10/22/2018,,,0.237,,,,,,2018,,2016-20
10768,HAV,Havasu lake Sample,,Havasu  ,11/26/2018,11/26/2018,,,,,,,,,2018,,2016-20
10818,HAV,Havasu lake Sample,,Havasu  ,12/6/2018,12/6/2018,,,0.402,,,,,,2018,,2016-20
10868,HAV,Havasu lake Sample,,Havasu  ,1/22/2019,1/22/2019,,,0.532,,,,,,2019,,2016-20
10918,HAV,Havasu lake Sample,,Havasu  ,2/25/2019,2/25/2019,,,0.435,,,,,,2019,,2016-20
10968,HAV,Havasu lake Sample,,Havasu  ,3/25/2019,3/25/2019,,,0.402,,,,,,2019,,2016-20
11018,HAV,Havasu lake Sample,,Havasu  ,4/22/2019,4/22/2019,,,1.827,,,,,,2019,,2016-20
11068,HAV,Havasu lake Sample,,Havasu  ,5/7/2019,5/7/2019,,,0.535,,,,,,2019,,2016-20
11118,HAV,Havasu lake Sample,,Havasu  ,6/13/2019,6/13/2019,,,0.471,,,,,,2019,,2016-20
11168,HAV,Havasu lake Sample,,Havasu  ,7/22/2019,7/22/2019,,,0.448,,,,,,2019,,2016-20
11218,HAV,Havasu lake Sample,,Havasu  ,8/19/2019,8/19/2019,,,0.385,,,,,,2019,,2016-20
11268,HAV,Havasu lake Sample,,Havasu  ,9/24/2019,9/24/2019,,,0.362,,,,,,2019,,2016-20
11318,HAV,Havasu lake Sample,,Havasu  ,10/21/2019,10/21/2019,,,0.366,,,,,,,,2016-20
