ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
410,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/2000,,,3.021,2.88,0.066,2.3,79.78,445.6,78.26,73.55,44.36,1.84,
411,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,11/15/2000,,,2.954,2.9,0.068,2.33,79.6,445.9,78.72,73.67,44.76,1.84,
412,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/2000,,,3.001,3.03,0.067,2.2,78.56,447.34,79,74.75,45.31,1.85,
413,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/2000,,,2.906,2.85,0.064,2.24,77.62,448.72,77.22,72.87,44.57,1.79,
414,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/2000,,,2.876,2.67,0.049,1.84,44.45,445.34,43.7,41.46,24.81,1.87,
415,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/2000,,,2.245,2.14,0.054,2.52,66.83,448.48,66.45,63.13,38.7,1.81,
416,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/2000,,,2.335,2.23,0.056,2.51,62.05,444.01,61.26,57.94,36.08,1.92,
417,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/16/2000,,,2.347,2.49,0.054,2.16,59.26,446.05,58.55,55.19,33.72,1.87,
418,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/16/2000,,,2.092,2.05,0.034,1.64,28.14,447.55,27.26,25.41,13.82,2.03,
419,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/16/2000,,,2.422,2.49,0.059,2.37,68.58,449.01,68.31,65.02,39.58,1.88,
420,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/16/2000,,,2.349,2.31,0.047,2.04,62.68,449,62.49,58.91,35.23,1.91,
421,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/16/2000,,,1.452,1.43,0.038,2.65,42.53,447.69,41.81,39.59,24.33,1.86,
422,R19,Val Vista WTP treated water,srp,val vista-treated,11/16/2000,,,1.128,1.04,0.009,0.89,1.52,436.32,0.44,0.24,0.05,1.9,
423,field_blank,field blank,,field,11/14/2000,,,0.081,0.11,,0,,,,,,,
424,lab_blank,laboratory blank,,lab,11/14/2000,,,0.046,,,,,,,,,,
425,R20,Verde River at Tangle,verde,verde abv horseshoe,11/30/2000,,,1.031,1.88,0.027,1.45,33.99,447.02,33.42,32.04,20.21,1.7,
426,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/12/2000,,,2.813,4.17,0.046,1.1,44.57,441.51,43.08,40.72,23.27,1.8513107,
427,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/12/2000,,,2.974,5.77,0.057,0.98,49.88,440.46,49.14,44.91,26.82,1.832214765,
428,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/12/2000,,,4.063,3.08,0.038,1.22,47.92,445.05,46.42,43.88,24.9,1.864257028,
429,R3,Waddell Canal,cap,waddell canal,12/12/2000,,,3.614,2.81,0.037,1.32,43.51,441.07,41.78,39.35,22.99,1.817311875,
430,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/13/2000,,,2.97,3.79,0.042,1.1,45.01,443.17,44.36,40.59,23.81,1.863082738,
431,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,12/13/2000,,,2.948,2.81,0.036,1.26,43.97,440.33,42.77,40.32,22.67,1.886634318,
432,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/12/2000,,,3.321,4.17,0.09,2.16,118.9,446.12,117.82,111.36,68.6,1.717492711,
433,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/12/2000,,,2.2,2.26,0.042,1.86,69.39,443.25,67.8,64.4,38.86,1.744724653,
434,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/12/2000,,,3.149,2.56,0.057,2.21,89.42,446.33,88.61,84.25,50.64,1.749802528,
