ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
447,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/14/2000,,,2.215,2.12,0.033,1.55,62.02,441.92,61.81,57.89,34.36,1.798894063,
448,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/14/2000,,,,,,,,,,,,,
449,R19,Val Vista WTP treated water,srp,val vista-treated,12/14/2000,,,,,,,,,,,,,
450,field_blank,field blank,,field,,,,0.163,0.17,,,,,,,,,
451,lab_blank,laboratory blank,,lab,,,,0.216,,,,,,,,,,
452,R20,Verde River at Tangle,verde,verde abv horseshoe,12/28/2000,,,0.787,0.88,0.017,1.9,23.82,435.645,22.84,21.7,13.18,1.73292868,
453,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/16/2001,,,2.884,2.75,0.042,1.51,46.43,445.79,45.81,42.1,24.91,1.839020474,
454,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/16/2001,,,3.11,3.05,0.044,1.44,50.42,444.88,49,46.96,27.34,1.792245794,
455,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/16/2001,,,3.079,3.01,0.042,1.41,50.02,447.19,49.16,45.87,26.79,1.835013065,
456,R3,Waddell Canal,cap,waddell canal,1/16/2001,,,2.888,2.91,0.041,1.39,45.77,441.73,45.6,41.29,24.58,1.855166802,
457,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/18/2001,,,2.744,2.85,0.04,1.4,46.56,445.55,44.79,42.15,24.13,1.856195607,
458,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,1/18/2001,,,2.766,2.84,0.04,1.39,45.68,443.82,44.8,41.9,24.12,1.857379768,
459,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/16/2001,,,1.738,1.69,0.039,2.3,59.05,441.66,58.35,55.94,33.57,1.738159071,
460,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/17/2001,,,2.672,2.65,0.059,2.23,81.93,440.94,81.16,76.55,46.29,1.753294448,
461,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/17/2001,,,2.653,2.65,0.058,2.19,83.31,445.42,81.44,76.24,46.41,1.754794225,
462,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/17/2001,,,2.509,2.62,0.06,2.3,84.26,444,82.79,78.32,47.29,1.750687249,
463,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/17/2001,,,2.989,2.94,0.051,1.72,73.5,442.11,72.45,68.31,39.89,1.816244673,
464,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/17/2001,,,3.112,3.17,0.053,1.68,75.3,445.55,74.63,69.64,41,1.820243902,
465,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,1/17/2001,,,3.152,3.13,0.054,1.71,76.25,443.22,74.5,69.8,41.44,1.797779923,
466,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/17/2001,,,3.248,3.56,0.054,1.51,75.92,443.8,74.69,70.52,41.18,1.813744536,
467,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/17/2001,,,2.418,2.19,0.034,1.54,51.72,445.53,50.92,48.21,28.74,1.771746695,
468,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/17/2001,,,3.019,2.91,0.039,1.35,43.91,449.97,43.9,40.15,23.12,1.898788927,
469,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/17/2001,,,1.789,2.03,0.036,1.8,57.03,450.47,56.9,52.69,31.9,1.78369906,
470,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,,,,,,,,,,,,,,Sample not collected due to AZ canal and WTPs shutdown
471,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,,,,,,,,,,,,,,Sample not collected due to AZ canal and WTPs shutdown
472,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,,,,,,,,,,,,,,Sample not collected due to AZ canal and WTPs shutdown
473,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,,,,,,,,,,,,,,Sample not collected due to AZ canal and WTPs shutdown
474,R17,Deer Valley WTP treated water,srp,deer valley-treated,,,,,,,,,,,,,,Sample not collected due to AZ canal and WTPs shutdown
475,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/18/2001,,,1.71,1.88,0.031,1.65,46.57,447.21,45.81,43.05,26.14,1.752486611,
476,R19,Val Vista WTP treated water,srp,val vista-treated,1/18/2001,,,1.575,1.76,0.023,1.29,40.72,444.25,39.52,37.47,21.57,1.832174316,
477,field_blank,field blank,,field,,,,0.22,0.47,0.001,0.19,,,,,,,
478,lab_blank,laboratory blank,,lab,,,,0.195,,,,,,,,,,
479,R20,Verde River at Tangle,verde,verde abv horseshoe,1/29/2001,,,0.791,0.77,0.019,2.43,19.9,450.18,19.9,18.29,11.17,1.781557744,
480,R1,CAP canal above Waddell Canal,cap,cap-siphon,2/14/2001,,,2.716,2.63,0.041,1.56,46.49,443.52,45.75,42.28,24.78,1.846246973,
481,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/14/2001,,,3.071,2.82,0.043,1.51,46.54,443.27,45.67,43.34,24.63,1.854242793,
482,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/14/2001,,,3.15,2.99,0.044,1.48,49.62,444.6,49.14,45.87,26.64,1.844594595,
483,R3,Waddell Canal,cap,waddell canal,2/14/2001,,,2.698,2.66,0.041,1.52,45.63,442.54,44.99,42.04,24.37,1.846122281,
484,R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/15/2001,,,2.641,2.61,0.041,1.57,45.94,441.65,45.84,42.17,24,1.91,
485,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2/15/2001,,,2.791,2.68,0.04,1.5,45.6,439.76,45.15,41.74,24.04,1.8781198,
486,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/14/2001,,,2.296,1.99,0.05,2.52,69,447.02,68.7,64.31,40.14,1.711509716,
487,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/14/2001,,,2.249,2.29,0.055,2.41,70.4,440.69,69.9,67.01,39.19,1.78361827,
488,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/14/2001,,,2.256,2.22,0.055,2.47,73.89,447.59,73.7,69.9,40.65,1.81303813,
489,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/14/2001,,,2.265,2.19,0.055,2.5,71.61,449.41,71.51,68.74,40.34,1.772682201,
490,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/13/2001,,,2.855,2.89,0.053,1.82,71.81,444.62,70.75,66.84,38.41,1.841968237,
491,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/13/2001,,,3,2.99,0.054,1.79,72.59,446.37,70.87,66.93,38.96,1.819045175,
492,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,2/13/2001,,,2.966,3.01,0.054,1.78,70.6,447.85,69.99,65.96,37.95,1.844268775,
493,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/13/2001,,,2.996,3.01,0.054,1.8,71.42,449.55,71.36,66.23,38.08,1.87394958,
494,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/13/2001,,,2.186,2.09,0.034,1.62,53.05,447.5,52.97,49.36,29.66,1.785906945,
495,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/13/2001,,,2.857,2.68,0.042,1.55,46.6,442.87,46.24,42.66,24.62,1.878147847,
496,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/13/2001,,,2.192,2.02,0.047,2.34,65.17,444.09,64.73,60.85,36.61,1.768096149,
497,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/13/2001,,,2.009,1.93,0.048,2.46,64.53,445.02,63.86,61.49,36.72,1.739106754,
498,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/15/2001,,,2.013,1.98,0.05,2.54,63.29,449.84,63.28,59.54,35.05,1.805420827,
499,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/15/2001,,,,,,,,,,,,,
500,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/15/2001,,,2.026,2.02,0.053,2.6,63.39,449.16,63.3,59.39,36.16,1.750553097,
501,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/15/2001,,,,,,,,,,,,,
502,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/15/2001,,,2.131,2.14,0.04,1.87,51.01,445.59,50.2,47.04,28.74,1.746694502,
503,R19,Val Vista WTP treated water,srp,val vista-treated,2/15/2001,,,1.908,1.94,0.022,1.13,27.9,438.03,26.94,24.52,13.31,2.024042074,
504,field_blank,field blank,,field,,,,,,,,,,,,,,
505,lab_blank,laboratory blank,,lab,,,,,,,,,,,,,,
506,R20,Verde River at Tangle,verde,verde abv horseshoe,2/28/2001,,,2.82,2.57,0.068,2.65,,,,,,,
507,R25,verde river at beeline highway,verde,verde @ beeline,2/13/2001,,,1.927,1.83,0.044,2.42,62.86,449.83,62.85,59.2,35.31,1.779949023,
508,R1,CAP canal above Waddell Canal,cap,cap-siphon,3/13/2001,,,2.775,2.58,0.042,1.63,50.93,445.71,49.1,45.6,26.62,1.844477836,
509,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/13/2001,,,2.917,2.82,0.044,1.56,53.77,441.87,53.27,50.41,29.68,1.794811321,
510,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/13/2001,,,2.972,2.89,0.044,1.51,56.08,444.21,55.1,52.31,30.96,1.779715762,
511,R3,Waddell Canal,cap,waddell canal,3/13/2001,,,2.659,2.49,0.041,1.64,49.11,448.65,48.9,45.19,25.6,1.91015625,
512,R4,Cap Canal at 7th St.,cap,cap @ 7th st,3/15/2001,,,2.677,2.62,0.042,1.6,48.77,444.92,48.14,44.4,26.1,1.844444444,
513,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,3/15/2001,,,2.622,2.61,0.041,1.59,49.37,445.49,48.15,44.45,25.32,1.901658768,
514,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,3/13/2001,,,5.157,4.71,0.172,3.65,183.57,447.09,183.12,175.09,110.79,1.652856756,
515,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/13/2001,,,2.543,2.28,0.062,2.71,77.98,448.32,77.41,72.35,42.98,1.801070265,
516,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/13/2001,,,2.048,2.07,0.053,2.57,73.84,445.11,73.43,68.48,41.35,1.775816203,
517,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/13/2001,,,2.105,2.02,0.052,2.6,73.29,443.7,72.78,67.88,40.73,1.786889271,
518,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/14/2001,,,3.052,3,0.064,2.14,85.88,440.59,84.2,79.73,47.19,1.78427633,
519,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/14/2001,,,3.168,3.1,0.057,1.84,76.13,443.73,74.91,70.25,41.49,1.8054953,
520,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,3/14/2001,,,3.234,3.02,0.057,1.9,76.4,441.5,75.43,70.88,41.97,1.797236121,
521,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/14/2001,,,3.084,2.99,0.056,1.86,77.78,443.86,77.2,72.23,42.64,1.810506567,
522,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/14/2001,,,2.11,2.01,0.037,1.85,60.64,446.72,59.43,56,33.08,1.796553809,
523,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/14/2001,,,2.639,2.57,0.041,1.61,47.45,439.68,46.49,43.81,24.62,1.888302193,
524,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/14/2001,,,1.538,1.38,0.036,2.58,52.39,449.86,52.38,48.94,29.07,1.801857585,
525,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/14/2001,,,1.981,1.89,0.039,2.04,52.56,448.15,51.68,47.45,28.63,1.805099546,
526,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/15/2001,,,1.961,1.89,0.045,2.37,48.05,450.54,47.99,44.33,26.03,1.843641952,
527,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/15/2001,,,1.9,1.8,0.017,0.96,11.05,435.69,10.13,8.62,4.44,2.281531532,
528,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/15/2001,,,2.131,2.04,0.043,2.09,48.72,443.95,47.67,45.37,26.51,1.798189363,
529,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/15/2001,,,1.805,1.81,0.018,1.02,12.4,432.78,11.01,9.43,4.77,2.308176101,
530,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/15/2001,,,2.069,2.08,0.038,1.81,45.26,443.84,44.56,41.91,24.17,1.843607778,
531,R19,Val Vista WTP treated water,srp,val vista-treated,3/15/2001,,,1.594,1.61,0.014,0.89,6.42,436.49,5.34,4.32,2.15,2.48372093,
532,field_blank,field blank,,field,,,,0.056,0,,,,,,,,,
533,lab_blank,laboratory blank,,lab,,,,0.027,,,,,,,,,,
534,R20,Verde River at Tangle,verde,verde abv horseshoe,3/31/2001,,,1.505,1.72,0.039,2.25,51,449.32,50.82,47.04,28.66,1.77320307,
535,R25,verde river at beeline highway,verde,verde @ beeline,3/14/2001,,,1.564,1.59,0.038,2.39,52.97,447.91,52.34,48.91,28.87,1.812954624,
536,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,3/15/2001,,,1.993,1.99,0.046,2.29,48.64,448.58,48.24,44.9,26.77,1.802017183,
537,R25,verde river at beeline highway,verde,verde @ beeline,3/1/2001,,Rain event,1.434,1.54,0.032,2.09,,,,,,,
538,R1,CAP canal above Waddell Canal,cap,cap-siphon,4/17/2001,,,2.831,2.85,0.042,1.48,47.04,448.36,46.42,41.84,24.54,1.891605542,
539,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/17/2001,,,3.445,3.63,0.051,1.4,52.01,447.19,51.5,48.39,28.46,1.809557273,
540,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/17/2001,,,2.86,3.7,0.049,1.31,55.28,448.38,54.73,50.92,30.8,1.776948052,
541,R3,Waddell Canal,cap,waddell canal,4/17/2001,,,3.081,3.3,0.043,1.31,44.78,443.19,44.07,40.65,23.56,1.870543294,
542,R4,Cap Canal at 7th St.,cap,cap @ 7th st,4/19/2001,,,3.094,2.93,0.044,1.51,46.49,445.47,45.24,41.31,24.06,1.880299252,
543,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,4/19/2001,,,3.579,3.88,0.048,1.22,47.99,445.15,46.86,43.81,25.32,1.8507109,
544,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,4/17/2001,,,3.035,3.4,0.09,2.65,103,445.94,102.5,96.17,60.7,1.688632619,
545,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/17/2001,,,3.046,3.6,0.083,2.31,92.55,445.51,93.13,87.58,53.86,1.729112514,
546,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/17/2001,,,2.107,2.08,0.058,2.79,72.64,444.92,72.22,68.91,40.46,1.784972813,
547,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/17/2001,,,2.033,2.06,0.055,2.64,71.15,448.36,70.3,66.15,40.08,1.753992016,
548,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/18/2001,,,3.098,3.22,0.061,1.89,78.35,444.95,76.25,72.34,43.05,1.771196283,
549,R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/18/2001,,,3.48,3.59,0.061,1.69,85.78,445.34,74.32,69.94,41,1.812682927,
550,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,4/18/2001,,,3.208,3.15,0.06,1.91,79.54,446,77.82,73.49,43.35,1.795155709,
551,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/18/2001,,,3.065,5.44,0.06,1.11,82.42,447.89,81.35,75.45,44.49,1.828500787,
552,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/18/2001,,,2.22,2.34,0.047,2.02,68.43,444.93,67.14,63.53,38.22,1.7566719,
553,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/18/2001,,,2.684,2.74,0.043,1.57,45.72,444.79,44.86,41.95,23.91,1.876202426,
554,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/18/2001,,,1.874,1.84,0.049,2.69,66.83,445.75,66.26,62.44,38,1.743684211,
555,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/18/2001,,,2.245,1.95,0.051,2.63,66.02,445.25,65.37,60.65,36.69,1.781684383,
556,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/19/2001,,,2.181,2.17,0.054,2.5,63.72,446.32,62.15,57.97,35.1,1.770655271,
557,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/19/2001,,,2.075,1.71,0.024,1.4,30.89,441.38,30.13,27.13,14.6,2.06369863,
558,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/19/2001,,,2.145,2.1,0.054,2.56,69.07,445.82,68.47,63.67,38.67,1.770623222,
559,R17,Deer Valley WTP treated water,srp,deer valley-treated,,,,,,,,,,,,,,
560,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/19/2001,,,2.298,2.27,0.047,2.06,53.01,445.97,52.17,49.06,28.61,1.823488291,
561,R19,Val Vista WTP treated water,srp,val vista-treated,4/19/2001,,,2.11,2,0.038,1.88,48.35,448.88,47.93,44.15,25.05,1.913373253,
562,field_blank,field blank,,field,,,,0.035,0.19,,0,,,,,,,
563,lab_blank,laboratory blank,,lab,,,,0.046,,,,,,,,,,
564,R20,Verde River at Tangle,verde,verde abv horseshoe,4/28/2001,,,1.537,1.56,0.035,2.24,,,,,,,
565,R25,verde river at beeline highway,verde,verde @ beeline,4/18/2001,,,2.15,1.88,0.049,2.62,65.76,444.1,64.86,60.95,37.08,1.749190939,
566,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/15/2001,5/1/2001,,,,,,,,,,,,
567,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/15/2001,5/1/2001,,4.316,4.06,0.05,1.23,48.15,443,47.43,44.1,25.38,1.87,
568,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/15/2001,5/1/2001,,3.999,3.33,0.044,1.33,64.82,441.36,63.44,58.47,32.1,1.98,
569,R3,Waddell Canal,cap,waddell canal,5/15/2001,5/1/2001,,3.745,3.31,0.042,1.27,43.57,444,43.19,40.15,22.7,1.9,
570,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/17/2001,5/1/2001,,3.101,3.15,0.043,1.38,43.3,444.41,43.32,39.73,22.31,1.94,
571,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/17/2001,5/1/2001,,2.981,3.21,0.043,1.32,43.88,439.58,43.2,39.66,22.09,1.96,
572,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/15/2001,5/1/2001,,1.566,1.91,0.041,2.15,61.31,446.59,60.08,56.26,33.95,1.77,
573,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/15/2001,5/1/2001,,3.819,4,0.089,2.21,85.69,445.21,84.97,80.52,46.8,1.82,
574,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/15/2001,5/1/2001,,3.259,3.39,0.089,2.62,97.76,442.79,96.97,91.48,54.93,1.77,
575,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/15/2001,5/1/2001,,2.42,3.19,0.057,1.8,70.93,442.63,69.22,65.02,38.53,1.8,
576,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/16/2001,5/1/2001,,3.246,3.44,0.057,1.65,62.98,445.38,62.04,57.46,32.98,1.88,
577,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/16/2001,5/1/2001,,3.836,3.68,0.059,1.6,65.61,443.06,64.5,60.31,34.24,1.88,
578,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/16/2001,5/1/2001,,3.755,3.71,0.059,1.6,66.55,445.23,64.98,60.63,33.84,1.92,
579,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/16/2001,5/1/2001,,3.326,3.18,0.056,1.77,73.6,444.24,72.2,67.59,39.69,1.82,
580,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/16/2001,5/1/2001,,3.378,3.51,0.056,1.61,72.86,442.69,70.71,66.14,38.15,1.85,
581,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/16/2001,5/1/2001,,,2.99,0.042,1.41,44.11,439.6,43.23,39.56,21.84,1.98,
582,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/16/2001,5/1/2001,,3.256,3.03,0.055,1.8,32.62,438.62,69.98,65.63,38.14,1.83,
583,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/16/2001,5/1/2001,,3.121,3.14,0.053,1.68,64.37,443.74,63.54,58.57,31.16,2.04,
584,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/17/2001,5/1/2001,,3.177,3.12,0.055,1.77,60.41,442.67,59.19,54.53,31.51,1.88,
585,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/17/2001,5/1/2001,,3.12,2.64,0.025,0.95,32.62,438.62,30.88,28.43,15.33,2.01,
586,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/17/2001,5/1/2001,,3.505,3.43,0.055,1.61,64.29,446.82,63.45,58.79,33.85,1.87,
587,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/17/2001,5/1/2001,,,,,,,,,,,,
588,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/17/2001,5/1/2001,,3.752,3.85,0.054,1.41,61.39,443.35,60.73,56.21,32.02,1.9,
589,R19,Val Vista WTP treated water,srp,val vista-treated,5/17/2001,5/1/2001,,2.93,3.09,0.039,1.27,57.42,445.96,56.45,52.73,29.36,1.92,
590,field_blank,field blank,,field,,5/1/2001,,0.259,0.26,,0,,,,,,,
591,lab_blank,laboratory blank,,lab,,5/1/2001,,0.049,,,,,,,,,,
592,R20,Verde River at Tangle,verde,verde abv horseshoe,,5/1/2001,,,,,,,,,,,,
593,R25,verde river at beeline highway,verde,verde @ beeline,5/17/2001,5/1/2001,,1.591,2.01,0.035,1.74,45.89,443.25,45,42.05,25.39,1.77,
594,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/12/2001,6/1/2001,,2.581,2.78,0.042,1.53,45.86,439.64,44.53,41.32,23.24,1.92,
595,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/12/2001,6/1/2001,,3.525,3.99,0.046,1.15,43.09,444.43,41.95,39.66,22.46,1.87,
596,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/12/2001,6/1/2001,,2.732,2.85,0.045,1.58,55.38,448.49,54.65,51.3,30.57,1.79,
597,R3,Waddell Canal,cap,waddell canal,6/12/2001,6/1/2001,,2.704,2.7,0.044,1.63,53.12,442.81,52.24,48.76,28.83,1.81,
598,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/14/2001,6/1/2001,,2.928,2.78,0.044,1.59,46.32,439.97,45.66,41.81,23.89,1.91,
599,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/14/2001,6/1/2001,,2.85,2.77,0.044,1.59,46.03,446.06,45.66,41.67,24.24,1.88,
600,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/12/2001,6/1/2001,,0.814,0.88,0.03,3.42,49.26,445.11,47.84,44.61,26.39,1.81,
601,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/12/2001,6/1/2001,,4.35,3.64,0.078,2.14,78.47,443.19,78.02,74.16,43.89,1.78,
602,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/12/2001,6/1/2001,,2.918,3.03,0.082,2.7,103,445.43,102.59,96.37,58.6,1.75,
603,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/12/2001,6/1/2001,,2.032,1.88,0.057,3.03,72.88,443.32,72.33,67.04,39.76,1.82,
604,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/13/2001,6/1/2001,,2.913,2.88,0.052,1.82,65.03,446.65,63.57,59.5,34.68,1.83,
605,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/13/2001,6/1/2001,,3.213,3.54,0.055,1.56,63.03,443.24,61.54,57.64,33.04,1.86,
606,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/13/2001,6/1/2001,,3.164,3.22,0.056,1.73,63.09,441.81,62.06,58.38,33.55,1.85,
607,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/13/2001,6/1/2001,,2.926,2.97,0.065,2.19,68.13,445.3,66.48,62.87,37.12,1.79,
608,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/13/2001,6/1/2001,,2.858,2.74,0.053,1.92,63.96,444.61,63.34,58.78,33.92,1.87,
609,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/13/2001,6/1/2001,,2.711,2.64,0.043,1.62,81.58,441.02,77.09,68.03,29.04,2.65,
610,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/13/2001,6/1/2001,,2.61,2.71,0.053,1.94,65.97,443.57,63.91,59.71,34.54,1.85,
611,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/13/2001,6/1/2001,,2.62,2.54,0.051,2.03,63.81,440.92,62.18,58.21,34.09,1.82,
612,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/14/2001,6/1/2001,,3.028,3.06,0.056,1.82,47.11,441.86,45.76,43.32,24.77,1.85,
613,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/14/2001,6/1/2001,,2.199,2.15,0.025,1.15,34.99,440.19,33.09,30.24,15.27,2.17,
614,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/14/2001,6/1/2001,,3.152,3.07,0.057,1.86,64.55,442.47,63.92,60.21,34.93,1.83,
615,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/14/2001,6/1/2001,,,,,,,,,,,,
616,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/14/2001,6/1/2001,,2.599,2.58,0.048,1.84,54.96,442.11,54.62,50.27,28.9,1.89,
617,R19,Val Vista WTP treated water,srp,val vista-treated,6/14/2001,6/1/2001,,2.429,2.26,0.039,1.74,51.33,440.27,49.94,46.19,26.44,1.89,
618,field_blank,field blank,,field,6/14/2001,6/1/2001,field blank,0,0,,,,,,,,,
619,lab_blank,laboratory blank,,lab,6/14/2001,6/1/2001,lab blank,0,,,,,,,,,,
620,R20,Verde River at Tangle,verde,verde abv horseshoe,6/14/2001,6/1/2001,,0.724,0.77,0.023,2.91,30.39,442.03,27.94,27.96,17.44,1.6,
621,R25,verde river at beeline highway,verde,verde @ beeline,6/13/2001,6/1/2001,,1.348,1.2,0.034,2.84,44.23,448.16,43.96,40.95,24.97,1.76,
622,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/10/2001,7/1/2001,,3.066,3.1,0.044,1.4,45.65,437.98,44.89,43.33,22.88,1.96,
